title,box_off_num
용서는 없다,389630.38
아빠가 여자를 좋아해,1943162.5
하모니,657907.6
의형제,1296594.6
평행 이론,1844405.2
회오리 바람,-3273.811
경계도시 2,50006.676
이웃집 남자,-26960.17
아마존의 눈물 극장판,-14209.46
반가운 살인자,450673.47
집 나온 남자들,61242.645
베스트셀러,2016135.2
작은 연못,216723.67
경,-14059.472
대한민국 1%,498913.78
포화 속으로,2949256.0
나쁜 놈이 더 잘 잔다,-80367.34
맨발의 꿈,273989.8
요술,159185.05
마법천자문: 대마왕의 부활을 막아라,-331450.94
인플루언스,-3516.1548
미스터 좀비,131536.58
김복남 살인사건의 전말,1197182.0
엄지아빠,85465.0
탈주,7918.375
해결사,470297.8
할,290662.1
된장,2338226.2
조금만 더 가까이,-62174.23
우리 만난 적 있나요,345240.53
쩨쩨한 로맨스,1132755.0
용서,-71484.98
브라보! 재즈 라이프,1031385.6
카페 느와르,1886061.4
오래된 인력거,93740.28
창피해,1178384.6
"양 한 마리, 양 두 마리",349890.84
하얀 정글,81235.42
다슬이,238498.73
REC 알이씨,-41181.87
량강도 아이들,39294.3
티끌모아 로맨스,200800.25
더 킥,-51081.477
커플즈,1341319.9
오늘,363215.38
완득이,1854556.1
은어,193680.52
고래를 찾는 자전거,40217.426
도가니,1314406.8
겨울냄새,31170.93
환타스틱 모던가야그머,13378.8125
블라인드,1207439.1
링크,127946.81
퀵,926844.5
모비딕,1143555.0
굿바이 보이,289503.34
종로의 기적,451895.25
회초리,1794111.9
체포왕,425535.38
세상에서 가장 아름다운 이별,5102067.0
나는 아빠다,62627.562
수상한 고객들,5567966.5
수상한 이웃들,-1327.1107
돌아오는 길,-209.69666
우리 이웃의 범죄,367935.06
엄마는 창녀다,-22469.338
위험한 상견례,369545.03
간증,-88816.39
"사랑한다, 사랑하지 않는다",650731.44
"혜화, 동",163605.4
글러브,1446128.9
가문의 귀환,587523.2
잔혹한 앵글의 로망스,-73231.98
나의 PS 파트너,2548682.2
롤플레이,561406.75
마티나,-72727.26
음치 클리닉,1450564.0
남영동1985,93827.96
돈 크라이 마미,158703.1
반드시 크게 들을 것 2 : Wild Days,-3742.2227
범죄소년,124236.7
내가 살인범이다,3895207.2
터치,-12723.312
늑대소년,3560043.2
맥코리아,17252.71
용의자X,3912875.5
하나안,-46434.23
투 올드 힙합 키드,36789.215
한경직,145193.67
미운오리새끼,260607.0
황제펭귄 펭이와 솜이,105403.664
두 개의 문,74202.555
I AM,718048.1
후궁 : 제왕의 첩,1556479.9
"안녕, 하세요!",958062.6
천국의 아이들,131833.36
할머니는 일학년,97667.95
두레소리,138234.84
"봄, 눈",745171.0
은교,800696.94
간기남,1848074.6
시체가 돌아왔다,2383630.0
말하는 건축가,-12128.035
밀월도 가는 길,-22636.867
파파,1245805.4
점박이:한반도의 공룡3D,214507.7
댄싱퀸,3639969.5
누구의 딸도 아닌 해원,-9219.437
신세계,5842647.0
굿바이 홈런,47271.637
불륜의 시대,-11425.033
남쪽으로 튀어,896323.0
좋은 친구들,3018748.8
지슬 - 끝나지 않은 세월 2,115500.36
누구나 제 명에 죽고 싶다,-10156.408
사이코메트리,1075682.6
환상속의 그대,77228.99
몽타주,1477964.9
"힘내세요, 병헌씨",87305.13
꼭두각시,204192.1
홀리,99328.71
마이 라띠마,574751.25
더 테러 라이브,674817.25
슈퍼피쉬 - 끝없는 여정,30195.477
콩가네,516872.34
허풍,-38251.316
젊은 엄마,-24489.742
노라노,29848.125
노브레싱,139905.94
말하는 건축 시티:홀,128001.2
댄서김의 은밀한 교수법,-69331.03
소원,622577.2
고양이 소녀,-40278.03
롤플레이 2 : 동침,-77341.984
동창생,2039575.2
용의자,5779772.5
미녀전쟁,31052.715
캐치미,1339394.6
