title,box_off_num
용서는 없다,2752161.78
아빠가 여자를 좋아해,1527039.75
하모니,1682460.21
의형제,1964606.4
평행 이론,1235067.84
회오리 바람,29593.7
경계도시 2,22059.37
이웃집 남자,7364.45
아마존의 눈물 극장판,61453.89
반가운 살인자,420364.14
집 나온 남자들,270135.37
베스트셀러,2183926.51
작은 연못,982213.4
경,5491.32
대한민국 1%,761213.24
포화 속으로,2893009.17
나쁜 놈이 더 잘 잔다,18574.36
맨발의 꿈,1682612.97
요술,218879.27
마법천자문: 대마왕의 부활을 막아라,400724.14
인플루언스,11545.46
미스터 좀비,106583.24
김복남 살인사건의 전말,838475.44
엄지아빠,32255.56
탈주,48883.49
해결사,824444.44
할,868.2
된장,2970083.18
조금만 더 가까이,73140.27
우리 만난 적 있나요,65756.73
쩨쩨한 로맨스,2404662.8
용서,62263.7
브라보! 재즈 라이프,396299.83
카페 느와르,1975153.99
오래된 인력거,250767.2
창피해,499290.66
"양 한 마리, 양 두 마리",286509.9
하얀 정글,6601.62
다슬이,116027.86
REC 알이씨,14899.66
량강도 아이들,345459.14
티끌모아 로맨스,12703.81
더 킥,85758.52
커플즈,1070376.26
오늘,1196998.93
완득이,784815.9
은어,10199.09
고래를 찾는 자전거,33132.78
도가니,1238710.24
겨울냄새,99948.85
환타스틱 모던가야그머,128266.52
블라인드,626576.88
링크,95047.67
퀵,789602.61
모비딕,956384.23
굿바이 보이,714112.65
종로의 기적,197915.9
회초리,1005565.61
체포왕,1178543.77
세상에서 가장 아름다운 이별,4109599.75
나는 아빠다,707881.56
수상한 고객들,3769530.45
수상한 이웃들,49725.76
돌아오는 길,6118.54
우리 이웃의 범죄,121036.9
엄마는 창녀다,9344.64
위험한 상견례,1036177.77
간증,75105.91
"사랑한다, 사랑하지 않는다",921346.15
"혜화, 동",216764.02
글러브,3252304.11
가문의 귀환,861228.8
잔혹한 앵글의 로망스,2607.43
나의 PS 파트너,2106136.56
롤플레이,290503.37
마티나,1886.47
음치 클리닉,2414754.01
남영동1985,140041.16
돈 크라이 마미,195505.25
반드시 크게 들을 것 2 : Wild Days,14378.95
범죄소년,125825.33
내가 살인범이다,2815817.66
터치,36361.07
늑대소년,4218224.98
맥코리아,28416.28
용의자X,3331600.41
하나안,59214.21
투 올드 힙합 키드,5331.15
한경직,179533.54
미운오리새끼,395630.16
황제펭귄 펭이와 솜이,43354.96
두 개의 문,9967.47
I AM,889750.23
후궁 : 제왕의 첩,2811824.01
"안녕, 하세요!",650688.85
천국의 아이들,117400.09
할머니는 일학년,98573.59
두레소리,79724.07
"봄, 눈",735175.36
은교,1166913.6
간기남,2033898.04
시체가 돌아왔다,1726476.54
말하는 건축가,199593.71
밀월도 가는 길,42155.8
파파,866615.06
점박이:한반도의 공룡3D,262401.9
댄싱퀸,4066791.11
누구의 딸도 아닌 해원,14014.41
신세계,3519379.11
굿바이 홈런,15372.9
불륜의 시대,2748.01
남쪽으로 튀어,1954461.07
좋은 친구들,2092370.63
지슬 - 끝나지 않은 세월 2,68707.33
누구나 제 명에 죽고 싶다,22848.7
사이코메트리,1678198.14
환상속의 그대,106684.37
몽타주,1773266.04
"힘내세요, 병헌씨",15300.56
꼭두각시,44208.81
홀리,6750.29
마이 라띠마,1071622.35
더 테러 라이브,653506.01
슈퍼피쉬 - 끝없는 여정,15249.37
콩가네,215836.36
허풍,3021.36
젊은 엄마,990.8
노라노,18517.48
노브레싱,153562.64
말하는 건축 시티:홀,138690.64
댄서김의 은밀한 교수법,9785.66
소원,856609.91
고양이 소녀,1915.97
롤플레이 2 : 동침,2620.57
동창생,1411772.43
용의자,6540244.24
미녀전쟁,355861.6
캐치미,1214520.2
그 강아지 그 고양이,320179.52
화려한 외출,146677.72
오하이오 삿포로,33337.17
마이 리틀 히어로,4649262.15
박수건달,5273230.86
배꼽,399719.77
나가요 미스콜,20126.42
우아한 거짓말,1043961.02
미스터 컴퍼니,3659.39
우리별 일호와 얼룩소,235607.67
찌라시: 위험한 소문,3134578.17
조선미녀삼총사,1469811.65
만찬,290959.88
한 번도 안 해본 여자,15199.67
살인자,77702.58
  이것이 우리의 끝이다,112409.83
그댄 나의 뱀파이어,3052.87
황제를 위하여,570374.67
레디액션! 폭력영화,39222.58
스퀴시랜드,35038.17
우는 남자,2452429.84
하이힐,2828706.88
도희야,288144.7
표적,1053401.07
10분,269268.5
메이크 유어 무브,1623811.23
카토 프로젝트,17646.97
녀녀녀,194945.12
방황하는 칼날,2875197.18
바리새인,10306.26
욕망의 독: 중독,11222.06
설계,37945.41
레쓰링,334072.02
원 컷 - 어느 친절한 살인자의 기록,16779.59
픽업 아티스트,178116.37
옹녀뎐,4802.38
왓니껴,957294.11
족구왕,77744.8
내 연애의 기억,7209.19
바세코의 아이들,18006.91
명량,7519614.34
군도: 민란의 시대,5660259.23
산타바바라,7103.97
나는 야한 여자가 좋다,985.76
숙희,1536.54
더 테너 리리코 스핀토,2806553.31
기술자들,1933286.67
신화 라이브 3D 더 레전드 컨티뉴스,1494374.29
악사들,10078.23
울언니,7687.67
정사: 위험한 성적유희,145577.52
레디액션 청춘,4169052.97
"제자, 옥한흠",59443.64
환상,1306.4
위층여자,1340.28
가자! 장미여관으로 3 - 방황,2197.3
나는 야한 여자가 좋다 3,985.76
스물,1464371.49
그라운드의 이방인,485806.06
살인의뢰,1492438.12
살인캠프,22836.66
헬머니,1353112.58
조류인간,109864.68
최강전사 미니특공대 : 새로운 악당의 습격,215902.9
생각보다 맑은,187759.48
고양이 장례식,59656.39
설해,266536.94
나의 절친 악당들,739330.1
연평해전,3029773.62
극비수사,1159887.89
성난 화가,65774.29
은밀한 유혹,1887025.83
혜경궁 홍씨,910511.92
무뢰한,1877192.35
간신,3819249.18
연애의 맛,485793.35
잡식가족의 딜레마,34902.46
플랑크 상수,13192.05
장수상회,701405.02
파울볼,10384.41
춘희막이,3518.11
덫: 치명적인 유혹,72683.39
션샤인 러브,73147.3
사도,2811527.11
돼지 같은 여자,10703.6
사랑이 이긴다,3612.8
슈퍼레이서 엔지,52926.6
제 7기사단,99557.05
고백,30808.47
미쓰 와이프,3183657.22
위로공단,5650.74
베테랑,4286104.77
악인은 살아 있다,87125.56
쓰리 썸머 나잇,647531.64
마돈나,249566.19
"나의 아들, 나의 어머니",1736044.23
슬픈남자,12399.26
타이밍,47384.51
타투,139503.91
어떤이의 꿈,1631.93
해에게서 소년에게,74444.84
울보 권투부,5782.41
어떤살인,337414.2
말하지 못한 비밀,8167.66
조선안방 스캔들-칠거지악 2,1770.02
